iter	Passed	Remaining
414	3162	4457
415	3169	4449
416	3175	4440
417	3183	4431
418	3189	4423
419	3196	4414
420	3203	4406
421	3210	4397
422	3217	4388
423	3224	4380
424	3231	4372
425	3238	4363
426	3245	4355
427	3253	4348
428	3260	4339
429	3267	4331
430	3275	4323
431	3281	4315
432	3289	4307
433	3296	4299
434	3303	4290
435	3310	4282
436	3317	4273
437	3324	4265
438	3331	4257
439	3338	4248
440	3345	4240
441	3351	4231
442	3359	4223
443	3366	4215
444	3372	4206
445	3379	4197
446	3386	4189
447	3393	4181
448	3400	4172
449	3407	4164
450	3414	4155
451	3420	4147
452	3427	4138
453	3434	4130
454	3441	4122
455	3448	4114
456	3455	4106
457	3463	4098
458	3471	4091
459	3477	4082
460	3485	4074
461	3492	4067
462	3500	4059
463	3507	4051
464	3514	4043
465	3521	4035
466	3528	4027
467	3535	4018
468	3542	4010
469	3549	4003
470	3556	3994
471	3564	3987
472	3578	3986
473	3584	3978
474	3591	3969
475	3598	3961
476	3605	3953
477	3612	3945
478	3619	3937
479	3626	3929
480	3633	3921
481	3641	3913
482	3648	3904
483	3654	3896
484	3661	3888
485	3670	3881
486	3676	3873
487	3684	3865
488	3691	3857
489	3698	3849
490	3705	3841
491	3712	3833
492	3719	3825
493	3726	3817
494	3733	3808
495	3741	3801
496	3749	3794
497	3757	3787
498	3767	3783
499	3775	3775
500	3782	3766
501	3789	3759
502	3796	3751
503	3803	3743
504	3810	3734
505	3817	3726
506	3823	3718
507	3831	3710
508	3838	3702
509	3845	3694
510	3852	3686
511	3859	3678
512	3867	3671
513	3874	3663
514	3882	3656
515	3889	3647
516	3895	3639
517	3902	3631
518	3909	3623
519	3916	3615
520	3923	3606
521	3930	3598
522	3936	3590
523	3943	3582
524	3950	3574
525	3957	3566
526	3964	3558
527	3971	3550
528	3978	3542
529	3985	3534
530	3992	3526
531	4000	3519
532	4012	3515
533	4021	3509
534	4032	3504
535	4047	3503
536	4068	3507
537	4075	3499
538	4084	3493
539	4094	3487
540	4104	3482
541	4111	3474
542	4119	3466
543	4126	3459
544	4133	3450
545	4140	3442
546	4147	3434
547	4154	3426
548	4161	3418
549	4167	3410
550	4174	3401
551	4181	3393
552	4188	3385
553	4195	3377
554	4202	3369
555	4209	3361
556	4216	3353
557	4223	3345
558	4230	3337
559	4236	3329
560	4243	3320
561	4251	3313
562	4268	3313
563	4276	3306
564	4284	3298
565	4291	3290
566	4297	3282
567	4304	3274
568	4311	3265
569	4318	3257
570	4325	3249
571	4332	3241
572	4339	3233
573	4346	3225
574	4352	3217
575	4359	3209
576	4366	3201
577	4374	3193
578	4382	3186
579	4388	3178
580	4395	3170
581	4402	3161
582	4409	3153
583	4416	3146
584	4423	3137
585	4430	3130
586	4437	3122
587	4444	3114
588	4451	3106
589	4459	3099
590	4466	3090
591	4473	3083
592	4481	3075
593	4487	3067
594	4494	3059
595	4502	3052
596	4509	3044
597	4517	3037
598	4524	3029
599	4531	3021
600	4538	3013
601	4546	3005
602	4553	2998
603	4560	2990
604	4567	2982
605	4574	2974
606	4581	2966
607	4588	2958
608	4595	2950
609	4602	2942
610	4609	2934
611	4616	2926
612	4623	2918
613	4630	2911
614	4637	2902
615	4644	2895
616	4650	2886
617	4659	2880
618	4665	2871
619	4673	2864
620	4679	2856
621	4686	2848
622	4693	2840
623	4700	2832
624	4707	2824
625	4714	2816
626	4720	2808
627	4727	2800
628	4734	2792
629	4742	2785
630	4748	2777
631	4761	2772
632	4768	2764
633	4774	2756
634	4781	2748
635	4788	2740
636	4795	2732
637	4802	2724
638	4809	2716
639	4815	2708
640	4822	2701
641	4829	2693
642	4837	2685
643	4845	2678
644	4852	2670
645	4858	2662
646	4866	2655
647	4873	2647
648	4880	2639
649	4887	2631
650	4894	2623
651	4901	2616
652	4908	2608
653	4915	2600
654	4922	2592
655	4929	2585
656	4936	2577
657	4943	2569
658	4950	2561
659	4956	2553
660	4964	2545
661	4970	2538
662	4977	2530
663	4984	2522
664	4991	2514
665	4998	2506
666	5005	2499
667	5012	2491
668	5019	2483
669	5026	2475
670	5033	2467
671	5040	2460
672	5048	2452
673	5055	2445
674	5063	2438
675	5070	2430
676	5077	2422
677	5084	2414
678	5091	2406
679	5098	2399
680	5104	2391
681	5112	2383
682	5119	2376
683	5126	2368
684	5133	2360
685	5140	2352
686	5147	2345
687	5154	2337
688	5161	2329
689	5168	2321
690	5174	2314
691	5181	2306
692	5188	2298
693	5195	2290
694	5202	2283
695	5209	2275
696	5216	2267
697	5223	2260
698	5230	2252
699	5238	2244
700	5246	2237
701	5253	2230
702	5261	2222
703	5268	2214
704	5274	2207
705	5281	2199
706	5288	2191
707	5295	2183
708	5302	2176
709	5309	2168
710	5316	2160
