iter	RMSE
0	204.6069778
1	201.0928745
2	197.9968952
3	195.2695754
4	191.9983913
5	189.1142045
6	185.8118633
7	183.0855987
8	180.3441808
9	177.7743
10	175.0632949
11	172.7326166
12	170.1233847
13	167.7857562
14	165.2609286
15	162.5687396
16	160.3821021
17	158.2014354
18	155.8858553
19	153.778126
20	151.3457885
21	149.2141788
22	147.2178154
23	145.3217317
24	143.3919915
25	141.5408091
26	139.6978609
27	138.0210626
28	136.1592791
29	134.5551148
30	133.397377
31	131.8429499
32	130.138146
33	128.5799183
34	127.3450814
35	125.7046454
36	124.0170416
37	122.9462922
38	121.3926257
39	120.3456496
40	119.1050906
41	117.8110244
42	116.5530825
43	115.2220248
44	114.0310022
45	112.9615373
46	112.016757
47	110.6377677
48	109.2416094
49	108.0715546
50	107.236306
51	106.3562763
52	105.2835946
53	104.2207158
54	103.1243271
55	101.9977771
56	101.0185362
57	99.9961704
58	99.0745537
59	98.07361089
60	97.0681144
61	96.18467916
62	95.44270794
63	94.56718357
64	93.55089718
65	92.7280393
66	91.99027168
67	91.02035735
68	90.1741928
69	89.29740743
70	88.4991969
71	87.65934755
72	86.85755802
73	86.17087115
74	85.40342215
75	84.75897322
76	83.88492021
77	83.06548654
78	82.30181291
79	81.52176698
80	80.71923623
81	80.0135312
82	79.30742914
83	78.55285415
84	77.88147223
85	77.22526703
86	76.42288851
87	75.89253464
88	75.27274688
89	74.65266709
90	74.00926993
91	73.5117277
92	72.98089904
93	72.54522001
94	72.08551728
95	71.38489096
96	70.78049519
97	70.11593558
98	69.54159619
99	68.80851737
100	68.24655844
101	67.75641936
102	67.14715777
103	66.58259544
104	66.00425287
105	65.50251603
106	64.93872447
107	64.35328042
108	63.76687487
109	63.26855645
110	62.82513148
111	62.40064117
112	61.98017149
113	61.5095066
114	61.01197096
115	60.47283552
116	60.09873824
117	59.5314814
118	59.17927057
119	58.62256889
120	58.1919018
121	57.68420363
122	57.21528483
123	56.70449859
124	56.24600811
125	55.70033045
126	55.30308916
127	54.88784146
128	54.41004943
129	54.02120904
130	53.70669657
131	53.23832445
132	52.80391181
133	52.46353629
134	52.03669275
135	51.5605043
136	51.12969492
137	50.75209068
138	50.34846339
139	49.99521232
140	49.53404499
141	49.17632619
142	48.76113224
143	48.3942626
144	47.94734942
145	47.56224416
146	47.17170832
147	46.85202218
148	46.5073846
149	46.20368606
150	45.8678177
151	45.61685032
152	45.30740885
153	45.01293631
154	44.60251841
155	44.24170544
156	43.91421317
157	43.5489598
158	43.22237815
159	42.86981088
160	42.53499438
161	42.19492235
162	41.88576716
163	41.55908271
164	41.23808573
165	40.90280405
166	40.56738113
167	40.28805787
168	40.00172682
169	39.72842554
170	39.40362849
171	39.1021011
172	38.81082056
173	38.52486806
174	38.21786102
175	37.93831347
176	37.67656765
177	37.41941792
178	37.13553804
179	36.82810933
180	36.57089851
181	36.29951737
182	36.0416219
183	35.75573347
184	35.49566194
185	35.23332168
186	34.98543866
187	34.71218747
188	34.46822457
189	34.21696396
190	33.98123972
191	33.7528665
192	33.51400408
193	33.26655645
194	33.02645408
195	32.80915227
196	32.5661783
197	32.30976176
198	32.1007187
199	31.86629438
200	31.64786357
201	31.42247274
202	31.18837462
203	30.9882824
204	30.79973536
205	30.62293194
206	30.40082175
207	30.19104929
208	30.00398344
209	29.79476705
210	29.57712
211	29.37055528
212	29.1798613
213	28.97200905
214	28.78959026
215	28.59400343
216	28.39245919
217	28.19035872
218	27.99882465
219	27.80938517
220	27.62879866
221	27.45032674
222	27.27527421
223	27.10122914
224	26.91753582
225	26.7440527
226	26.58473918
227	26.40399773
228	26.23788621
229	26.07923757
230	25.91005892
231	25.74322384
232	25.57813544
233	25.42218422
234	25.27015172
235	25.12826033
236	24.97594778
237	24.81038116
238	24.65911865
239	24.50350665
240	24.35645689
241	24.21788144
242	24.06920676
243	23.94153195
244	23.80150112
245	23.65833113
246	23.51346601
247	23.39135573
248	23.27037829
249	23.12886596
250	23.00867283
251	22.87276243
252	22.7342894
253	22.61518214
254	22.49038079
255	22.36690315
256	22.23600356
257	22.11352549
258	21.98105558
259	21.8597262
260	21.73578874
261	21.62948235
262	21.52443297
263	21.41731505
264	21.28267464
265	21.17087776
266	21.03630524
267	20.94560586
268	20.84671438
269	20.7449453
270	20.64574495
271	20.53393749
272	20.43237167
273	20.33386181
274	20.23784607
275	20.10670944
276	20.01821149
277	19.91161055
278	19.81961481
279	19.72842573
280	19.64327569
281	19.56182806
282	19.46349738
283	19.37715792
284	19.26726324
285	19.14956195
286	19.04191911
287	18.93987459
288	18.83139466
289	18.75600509
290	18.67468524
291	18.58876474
292	18.49491264
293	18.40121936
294	18.31717114
295	18.24094127
296	18.16378032
297	18.08547335
298	18.00255325
299	17.9290344
300	17.85509824
301	17.76737634
302	17.71118037
